#R_planet
6.653820103e+06
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.754875515e+05|2.918523172e+05|2.155327792e+05|2.230364443e+05|4.958855875e+06|4.981503500e+06|5.007340750e+06|4.982075500e+06|4.951656000e+06|5.012494500e+06|4.412631250e+05|5.093910000e+05|6.251703750e+05|5.359215000e+05|4.389060938e+05|6.329368750e+05|1.981462441e+03|1.987413837e+03|1.991088638e+03|1.986912996e+03|1.981386024e+03|1.992439967e+03|1.609104891e+02|1.668591330e+02|1.705423213e+02|1.663619088e+02|1.608332572e+02|1.718905604e+02|5.816926652e+03|5.863415841e+03|5.908013606e+03|5.865939759e+03|5.812083707e+03|5.919795811e+03|1.259797380e+03|1.311573801e+03|1.360219490e+03|1.316631995e+03|1.250045259e+03|1.383218731e+03|1.622621839e+11|1.628008858e+11|1.632214589e+11|1.627790049e+11|1.621913600e+11|1.633666171e+11|-6.743461888e+09|-2.971189248e+09|2.662379520e+09|-2.228000256e+09|-6.767686656e+09|2.311686144e+09|1.019275977e+04|1.019925244e+04|1.020651245e+04|1.019980273e+04|1.019164551e+04|1.020796094e+04
4.192721533e+05|4.196622033e+05|3.297423862e+05|3.620338611e+05|4.929490250e+06|4.949986750e+06|4.984996625e+06|4.953887000e+06|4.918667000e+06|4.989107000e+06|4.161603750e+05|5.154092500e+05|6.564845000e+05|5.395989375e+05|4.174654688e+05|6.617323750e+05|1.982069584e+03|1.988638114e+03|1.993459154e+03|1.988002289e+03|1.981377105e+03|1.994627473e+03|1.615172518e+02|1.680846284e+02|1.729052574e+02|1.674516290e+02|1.608260916e+02|1.740771663e+02|5.802757724e+03|5.857933030e+03|5.910834483e+03|5.857597751e+03|5.793778739e+03|5.921416764e+03|1.251806823e+03|1.308564183e+03|1.384031524e+03|1.322525550e+03|1.240876890e+03|1.404174211e+03|1.608901796e+11|1.613638779e+11|1.617547878e+11|1.612696125e+11|1.606655017e+11|1.618736742e+11|-8.097665024e+09|-2.849742848e+09|3.488530432e+09|-2.171648512e+09|-8.113786880e+09|3.770489600e+09|1.017277808e+04|1.017792090e+04|1.018507764e+04|1.017759570e+04|1.016933984e+04|1.018585156e+04
4.996601750e+05|5.036705058e+05|3.933778712e+05|4.403938993e+05|4.910686000e+06|4.942823750e+06|4.969508875e+06|4.942002000e+06|4.905771500e+06|4.978233500e+06|4.124330000e+05|5.290707500e+05|6.514101250e+05|5.381522500e+05|4.000185938e+05|6.762860000e+05|1.983878253e+03|1.990886603e+03|1.995886707e+03|1.990160671e+03|1.983234081e+03|1.997087261e+03|1.633217605e+02|1.703241485e+02|1.753362321e+02|1.696109283e+02|1.626840612e+02|1.765377955e+02|5.806058832e+03|5.870580721e+03|5.916194451e+03|5.865439380e+03|5.799175008e+03|5.931703751e+03|1.255323616e+03|1.332306919e+03|1.406109603e+03|1.335011246e+03|1.246925710e+03|1.423096782e+03|1.598207549e+11|1.602965176e+11|1.607894344e+11|1.603260580e+11|1.596835430e+11|1.609685729e+11|-8.479965184e+09|-2.999779328e+09|2.978910208e+09|-2.602205952e+09|-9.136517120e+09|3.932105216e+09|1.015593750e+04|1.016241553e+04|1.016771875e+04|1.016180176e+04|1.015390234e+04|1.016970020e+04
5.574610953e+05|5.585855887e+05|4.288791088e+05|4.667652606e+05|4.902652375e+06|4.928270250e+06|4.957766750e+06|4.928429000e+06|4.892178000e+06|4.964680500e+06|4.074795000e+05|5.399145000e+05|6.782837500e+05|5.583508750e+05|4.002344375e+05|7.164674375e+05|1.986567814e+03|1.992089628e+03|1.996857284e+03|1.991464925e+03|1.984786355e+03|1.998143495e+03|1.660055246e+02|1.715362840e+02|1.762972399e+02|1.709123755e+02|1.642326556e+02|1.775920954e+02|5.816690426e+03|5.870925674e+03|5.916113241e+03|5.866487459e+03|5.802135664e+03|5.930839254e+03|1.254621517e+03|1.352071347e+03|1.415873223e+03|1.351167225e+03|1.249335044e+03|1.452999406e+03|1.589532836e+11|1.594953892e+11|1.599664497e+11|1.594601308e+11|1.588043776e+11|1.601158840e+11|-8.183885824e+09|-2.555715584e+09|4.670083072e+09|-1.808629888e+09|-9.001946112e+09|5.384686080e+09|1.014275464e+04|1.014863965e+04|1.015371313e+04|1.014809668e+04|1.014038867e+04|1.015580469e+04
6.081796337e+05|6.097542108e+05|4.842267881e+05|5.399147623e+05|4.875852125e+06|4.907394000e+06|4.950252250e+06|4.913509500e+06|4.870487000e+06|4.956532000e+06|3.687161250e+05|5.222415000e+05|7.052110000e+05|5.473357500e+05|3.707528750e+05|7.239186250e+05|1.985742325e+03|1.991533983e+03|1.999077865e+03|1.992111153e+03|1.984336669e+03|1.999885637e+03|1.651909352e+02|1.709862323e+02|1.785295763e+02|1.715601902e+02|1.637850811e+02|1.793352992e+02|5.796752842e+03|5.856141580e+03|5.927807055e+03|5.862488256e+03|5.786150022e+03|5.938826489e+03|1.243963210e+03|1.325218722e+03|1.441154979e+03|1.348999700e+03|1.234347942e+03|1.463651459e+03|1.581120020e+11|1.585732977e+11|1.592177336e+11|1.586478121e+11|1.579403182e+11|1.593552896e+11|-1.069942374e+10|-3.142639616e+09|5.500841984e+09|-2.429629696e+09|-1.051597210e+10|5.656713728e+09|1.013090332e+04|1.013605908e+04|1.014102539e+04|1.013591406e+04|1.012926270e+04|1.014256641e+04
6.508318346e+05|6.507687404e+05|5.114023419e+05|5.547153903e+05|4.866709000e+06|4.901906750e+06|4.925265125e+06|4.897394000e+06|4.860726000e+06|4.934062000e+06|3.675535000e+05|5.191375000e+05|6.984075000e+05|5.416143125e+05|3.665868438e+05|7.166417500e+05|1.987002691e+03|1.992693701e+03|1.997468278e+03|1.992155120e+03|1.985357901e+03|1.998952340e+03|1.664506463e+02|1.721475443e+02|1.769236712e+02|1.716036693e+02|1.648059898e+02|1.784013489e+02|5.803400988e+03|5.858630276e+03|5.903758347e+03|5.853392381e+03|5.787556717e+03|5.919228044e+03|1.244244665e+03|1.351964927e+03|1.441225486e+03|1.344474218e+03|1.235529270e+03|1.453419167e+03|1.574488596e+11|1.579526554e+11|1.584496968e+11|1.578993418e+11|1.572493394e+11|1.585493279e+11|-1.038524416e+10|-3.854270464e+09|4.271042560e+09|-2.667049216e+09|-1.068682752e+10|5.352729600e+09|1.012039429e+04|1.012723877e+04|1.013260840e+04|1.012540234e+04|1.011744238e+04|1.013336230e+04
6.861219400e+05|6.856051355e+05|5.522254323e+05|6.123919584e+05|4.866460750e+06|4.886887750e+06|4.915211750e+06|4.891308500e+06|4.862422500e+06|4.920195000e+06|4.146682500e+05|5.461220000e+05|7.045870000e+05|5.635996250e+05|3.940739688e+05|7.331253750e+05|1.988281736e+03|1.992981974e+03|1.998196767e+03|1.993662993e+03|1.988013184e+03|1.999312803e+03|1.677230341e+02|1.724334477e+02|1.776473416e+02|1.731116062e+02|1.674617774e+02|1.787614350e+02|5.810748863e+03|5.850079791e+03|5.899453622e+03|5.859810528e+03|5.806239944e+03|5.913381113e+03|1.279126772e+03|1.355806789e+03|1.434676811e+03|1.363397407e+03|1.267368607e+03|1.459426206e+03|1.569680220e+11|1.573334712e+11|1.576951235e+11|1.573483971e+11|1.568709673e+11|1.578258268e+11|-8.007061504e+09|-2.438848512e+09|4.870438912e+09|-1.838281728e+09|-9.896804352e+09|6.220240896e+09|1.011150195e+04|1.011718457e+04|1.012157422e+04|1.011576758e+04|1.010931543e+04|1.012222168e+04
7.246784424e+05|7.243205898e+05|6.114624463e+05|6.502586026e+05|4.838470125e+06|4.866855000e+06|4.903535625e+06|4.870804000e+06|4.830430000e+06|4.911179500e+06|3.098420000e+05|4.910122500e+05|6.942912500e+05|5.069136875e+05|3.034976562e+05|7.103296250e+05|1.987068215e+03|1.992140546e+03|1.998948273e+03|1.992800947e+03|1.985528803e+03|2.000073092e+03|1.665262957e+02|1.715904338e+02|1.783968129e+02|1.722505495e+02|1.649781850e+02|1.795229140e+02|5.784407885e+03|5.832900719e+03|5.898936486e+03|5.842492250e+03|5.771534322e+03|5.913450177e+03|1.221859228e+03|1.300188802e+03|1.433683085e+03|1.330645994e+03|1.206154158e+03|1.455137831e+03|1.560352604e+11|1.564584182e+11|1.569213972e+11|1.565508076e+11|1.559150756e+11|1.571865068e+11|-1.349485363e+10|-6.712557568e+09|4.023869440e+09|-4.417497088e+09|-1.392479334e+10|5.089798656e+09|1.010023340e+04|1.010420459e+04|1.010986646e+04|1.010560254e+04|1.009903906e+04|1.011216504e+04
7.578571472e+05|7.567200868e+05|6.382611762e+05|6.695430169e+05|4.815453625e+06|4.851555250e+06|4.884533750e+06|4.851753500e+06|4.815326000e+06|4.888182000e+06|3.350966250e+05|5.001315000e+05|6.695957500e+05|5.146918438e+05|3.298548125e+05|6.995289375e+05|1.985661614e+03|1.992767202e+03|1.998789755e+03|1.992369000e+03|1.985356622e+03|1.999381378e+03|1.651012137e+02|1.722055583e+02|1.782420261e+02|1.718174658e+02|1.648044870e+02|1.788304446e+02|5.767570851e+03|5.832374654e+03|5.888460367e+03|5.828546880e+03|5.761696929e+03|5.895396831e+03|1.230509734e+03|1.312658862e+03|1.423257891e+03|1.328080768e+03|1.216152738e+03|1.440008797e+03|1.551145943e+11|1.558053929e+11|1.561503744e+11|1.557506130e+11|1.551788605e+11|1.563223327e+11|-1.201513267e+10|-4.915290112e+09|3.068514304e+09|-3.896452096e+09|-1.243495629e+10|4.642052608e+09|1.008868579e+04|1.009424854e+04|1.010036279e+04|1.009486230e+04|1.008746582e+04|1.010225781e+04
7.892420233e+05|7.888296705e+05|6.726770602e+05|7.050857411e+05|4.810340125e+06|4.845972500e+06|4.870942375e+06|4.842265500e+06|4.805607000e+06|4.878923500e+06|3.578311250e+05|4.926727500e+05|7.148405000e+05|5.257340625e+05|3.341869688e+05|7.172811875e+05|1.988310802e+03|1.993481453e+03|1.999472504e+03|1.993541907e+03|1.987331926e+03|1.999751889e+03|1.677661434e+02|1.729338784e+02|1.789291965e+02|1.729908458e+02|1.667808533e+02|1.792008383e+02|5.780053348e+03|5.831593530e+03|5.884753729e+03|5.830735692e+03|5.768842122e+03|5.892629262e+03|1.254147758e+03|1.314979659e+03|1.455309215e+03|1.339764203e+03|1.229246395e+03|1.450282011e+03|1.546301522e+11|1.550925087e+11|1.556308623e+11|1.551022653e+11|1.544411709e+11|1.557632942e+11|-1.133365658e+10|-5.238415360e+09|4.444430336e+09|-3.537199360e+09|-1.259245978e+10|5.518060544e+09|1.007853564e+04|1.008452002e+04|1.009074976e+04|1.008417578e+04|1.007690332e+04|1.009144727e+04
