#R_planet
1.568351187e+06
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
8.768588669e+04|9.229597814e+04|6.916437204e+04|7.224053966e+04|1.791872125e+06|1.794966750e+06|1.799157750e+06|1.795128750e+06|1.790656125e+06|1.799601500e+06|1.052625938e+05|1.102664375e+05|1.142082812e+05|1.100277891e+05|1.048349609e+05|1.152206172e+05|1.991197437e+03|1.992345553e+03|1.994018645e+03|1.992439155e+03|1.990601749e+03|1.994276562e+03|4.834720766e+01|4.949683932e+01|5.117170976e+01|4.958984946e+01|4.775245387e+01|5.142724505e+01|2.566405312e+03|2.571698528e+03|2.578052434e+03|2.572003114e+03|2.564784979e+03|2.579221249e+03|1.421526386e+02|1.525116724e+02|1.601685585e+02|1.520598570e+02|1.398365546e+02|1.642831594e+02|7.607252864e+09|7.654913280e+09|7.696879232e+09|7.657129472e+09|7.600567808e+09|7.713690624e+09|6.057689600e+07|2.109071360e+08|3.834371840e+08|2.204379520e+08|-2.531209200e+07|4.661880320e+08|6.528470581e+03|6.530594971e+03|6.533151245e+03|6.531017578e+03|6.528358887e+03|6.533676758e+03
1.332470430e+05|1.349659476e+05|1.054394707e+05|1.159718804e+05|1.790838375e+06|1.795093625e+06|1.799341844e+06|1.795432125e+06|1.790333250e+06|1.800530875e+06|1.040183438e+05|1.088800000e+05|1.145872812e+05|1.101868203e+05|1.039769766e+05|1.163966484e+05|1.990888919e+03|1.992799758e+03|1.994508360e+03|1.992850775e+03|1.990688167e+03|1.995013384e+03|4.804057067e+01|4.995259040e+01|5.165907708e+01|5.000170133e+01|4.783940062e+01|5.216400203e+01|2.563266856e+03|2.569289280e+03|2.575355162e+03|2.570179992e+03|2.562350329e+03|2.578009655e+03|1.356486976e+02|1.492508046e+02|1.607347276e+02|1.495668320e+02|1.342970919e+02|1.648365720e+02|7.540967296e+09|7.583876864e+09|7.630316544e+09|7.587132416e+09|7.529694720e+09|7.644570624e+09|-1.308696320e+08|9.478758400e+07|3.936289280e+08|1.336646240e+08|-1.525876960e+08|4.199169280e+08|6.523899170e+03|6.527742432e+03|6.529821167e+03|6.526805176e+03|6.523213867e+03|6.530395508e+03
1.582943732e+05|1.580856839e+05|1.248553815e+05|1.375971204e+05|1.789723844e+06|1.794388562e+06|1.798051500e+06|1.794774875e+06|1.789501250e+06|1.800048750e+06|1.049758750e+05|1.097079375e+05|1.131990625e+05|1.100036172e+05|1.040697578e+05|1.159375078e+05|1.990716401e+03|1.992499137e+03|1.994051047e+03|1.992745640e+03|1.990510763e+03|1.994980518e+03|4.786528697e+01|4.964940702e+01|5.120054493e+01|4.989650648e+01|4.766148189e+01|5.213153106e+01|2.560804329e+03|2.567084394e+03|2.572518994e+03|2.567788440e+03|2.559408211e+03|2.576168668e+03|1.377038372e+02|1.467381307e+02|1.579314903e+02|1.495310588e+02|1.352130689e+02|1.638490487e+02|7.500441344e+09|7.543307264e+09|7.584856960e+09|7.538904064e+09|7.475593728e+09|7.602213888e+09|-1.391312640e+08|8.835174400e+07|3.002181120e+08|1.437365440e+08|-1.616072320e+08|4.490802880e+08|6.521937256e+03|6.525848389e+03|6.528615601e+03|6.524612305e+03|6.520560547e+03|6.528664551e+03
1.786758646e+05|1.787917265e+05|1.539275869e+05|1.613365809e+05|1.790811750e+06|1.795477062e+06|1.800110875e+06|1.795516500e+06|1.789951875e+06|1.801081500e+06|1.051407188e+05|1.113504375e+05|1.171673438e+05|1.113324922e+05|1.046530781e+05|1.180118984e+05|1.991396502e+03|1.993106166e+03|1.995117483e+03|1.993167176e+03|1.990914168e+03|1.995420184e+03|4.854565631e+01|5.025597536e+01|5.226693814e+01|5.031795244e+01|4.806473690e+01|5.257116799e+01|2.559784950e+03|2.567752343e+03|2.575909637e+03|2.567999675e+03|2.558516255e+03|2.577483095e+03|1.368982804e+02|1.499662110e+02|1.679121033e+02|1.526691534e+02|1.348465192e+02|1.704917876e+02|7.464733952e+09|7.494283520e+09|7.575854720e+09|7.515507200e+09|7.427411968e+09|7.603600896e+09|-8.111961600e+07|1.700362240e+08|4.755806720e+08|1.927302080e+08|-1.647121920e+08|5.501726080e+08|6.518931030e+03|6.523021484e+03|6.526239746e+03|6.522674316e+03|6.517997559e+03|6.527350586e+03
1.970978549e+05|1.969003867e+05|1.715567712e+05|1.779622091e+05|1.788860375e+06|1.793305438e+06|1.797696062e+06|1.793465500e+06|1.788188375e+06|1.798742750e+06|1.028325625e+05|1.077603750e+05|1.132702500e+05|1.082757734e+05|1.018373984e+05|1.147141484e+05|1.990657736e+03|1.992422522e+03|1.994093232e+03|1.992473821e+03|1.990300737e+03|1.994646905e+03|4.781066109e+01|4.957398166e+01|5.124404940e+01|4.962461540e+01|4.745127250e+01|5.179795831e+01|2.554836325e+03|2.563362905e+03|2.570562903e+03|2.563519824e+03|2.554580526e+03|2.572459121e+03|1.293777057e+02|1.417630736e+02|1.564364983e+02|1.432687305e+02|1.266976311e+02|1.598398300e+02|7.421176320e+09|7.461814784e+09|7.525055104e+09|7.458731008e+09|7.376173056e+09|7.541289984e+09|-2.670627840e+08|-6.988620800e+07|2.390737920e+08|1.392292900e+07|-3.153340480e+08|3.431798720e+08|6.518754272e+03|6.522127930e+03|6.524974854e+03|6.521142090e+03|6.516627441e+03|6.525657715e+03
2.135104993e+05|2.131463006e+05|1.925504009e+05|1.988153851e+05|1.790307469e+06|1.794368062e+06|1.798657594e+06|1.795665125e+06|1.789917875e+06|1.801412375e+06|1.044883750e+05|1.095943750e+05|1.162321562e+05|1.116805312e+05|1.041106328e+05|1.192504375e+05|1.991619332e+03|1.993023637e+03|1.994892568e+03|1.993617211e+03|1.991172066e+03|1.996062357e+03|4.877023335e+01|5.017531605e+01|5.204172514e+01|5.076831014e+01|4.832313206e+01|5.321348822e+01|2.557286725e+03|2.562696968e+03|2.569960189e+03|2.564991936e+03|2.555870135e+03|2.574113737e+03|1.309610753e+02|1.453909440e+02|1.653642362e+02|1.507057365e+02|1.307112924e+02|1.707001806e+02|7.353678336e+09|7.413790720e+09|7.461719680e+09|7.416117760e+09|7.331792384e+09|7.500445696e+09|-2.610883840e+08|2.005068800e+07|3.644513280e+08|1.189741600e+08|-2.709209920e+08|5.088693440e+08|6.512369995e+03|6.518708740e+03|6.521544312e+03|6.516913086e+03|6.511369141e+03|6.522456055e+03
2.286504022e+05|2.275740548e+05|2.105360378e+05|2.173799254e+05|1.789594469e+06|1.793929562e+06|1.799193469e+06|1.794201250e+06|1.788688625e+06|1.799713500e+06|1.058678438e+05|1.093155625e+05|1.157959375e+05|1.104337969e+05|1.042081406e+05|1.166594297e+05|1.991306191e+03|1.993058088e+03|1.995246849e+03|1.993109592e+03|1.990840739e+03|1.995378444e+03|4.845746607e+01|5.020890628e+01|5.239620764e+01|5.026049981e+01|4.799140655e+01|5.252959307e+01|2.553953035e+03|2.561626830e+03|2.568770013e+03|2.561877627e+03|2.552688929e+03|2.571066325e+03|1.362189636e+02|1.442997523e+02|1.604526365e+02|1.484655552e+02|1.328942018e+02|1.640369087e+02|7.320995968e+09|7.377281024e+09|7.438086912e+09|7.378518528e+09|7.290285056e+09|7.466752512e+09|-1.690612480e+08|1.084544000e+07|3.950586880e+08|1.037667520e+08|-2.169125280e+08|4.244460480e+08|6.513799683e+03|6.517223633e+03|6.519791504e+03|6.515981934e+03|6.511146484e+03|6.520819336e+03
2.433926686e+05|2.436842600e+05|2.243670284e+05|2.289404854e+05|1.789429469e+06|1.793789875e+06|1.798529688e+06|1.794354375e+06|1.788904000e+06|1.799804750e+06|1.040653125e+05|1.088332500e+05|1.139981250e+05|1.100957812e+05|1.033364375e+05|1.168551328e+05|1.991324720e+03|1.993230772e+03|1.995168312e+03|1.993394928e+03|1.991082295e+03|1.995707561e+03|4.847650622e+01|5.037970349e+01|5.231944801e+01|5.054582506e+01|4.823309380e+01|5.285855631e+01|2.552412943e+03|2.559043772e+03|2.567831307e+03|2.560231158e+03|2.551293782e+03|2.569168534e+03|1.290480560e+02|1.393899080e+02|1.541796406e+02|1.446343728e+02|1.266899452e+02|1.625788004e+02|7.238544768e+09|7.333929216e+09|7.398678272e+09|7.321729536e+09|7.218829824e+09|7.424629760e+09|-3.033602560e+08|-1.086018560e+08|2.651724800e+08|-8.024253500e+06|-3.813423360e+08|3.652938880e+08|6.510056030e+03|6.514095215e+03|6.517415283e+03|6.512630859e+03|6.506942383e+03|6.518316895e+03
2.566341750e+05|2.563370724e+05|2.386363166e+05|2.434682124e+05|1.790288812e+06|1.794854125e+06|1.800409562e+06|1.795644125e+06|1.789610750e+06|1.801677625e+06|1.055300312e+05|1.112191875e+05|1.178913750e+05|1.121659062e+05|1.053545078e+05|1.189772969e+05|1.991765953e+03|1.993927781e+03|1.995962781e+03|1.994017992e+03|1.991401292e+03|1.996634693e+03|4.891632097e+01|5.107697592e+01|5.311521261e+01|5.116860161e+01|4.855180275e+01|5.378540046e+01|2.553167730e+03|2.561185657e+03|2.568922699e+03|2.561505405e+03|2.552358729e+03|2.570652081e+03|1.324870638e+02|1.458515661e+02|1.618089036e+02|1.496088238e+02|1.321199926e+02|1.670976551e+02|7.241888256e+09|7.317320960e+09|7.384497536e+09|7.309470720e+09|7.221233152e+09|7.397708800e+09|-2.763959040e+08|5.091660800e+07|3.354293760e+08|7.194873600e+07|-2.930589760e+08|4.369564800e+08|6.506284180e+03|6.511510010e+03|6.516283447e+03|6.510873047e+03|6.504936035e+03|6.516810547e+03
2.696680783e+05|2.694903134e+05|2.533138848e+05|2.578279709e+05|1.789550281e+06|1.794707688e+06|1.799505594e+06|1.794425750e+06|1.788547625e+06|1.800303875e+06|1.041817500e+05|1.097128750e+05|1.170254688e+05|1.105587578e+05|1.034608438e+05|1.176566797e+05|1.991730694e+03|1.993760501e+03|1.995856501e+03|1.993703411e+03|1.991210301e+03|1.996196520e+03|4.888187467e+01|5.091026552e+01|5.300965880e+01|5.085446838e+01|4.836144481e+01|5.334749195e+01|2.549576545e+03|2.557826532e+03|2.565714833e+03|2.557975639e+03|2.548528513e+03|2.567422765e+03|1.255927018e+02|1.416660439e+02|1.556859296e+02|1.443162854e+02|1.253825321e+02|1.632500387e+02|7.177643520e+09|7.256246528e+09|7.321472640e+09|7.249363456e+09|7.159161344e+09|7.339565568e+09|-3.870635520e+08|-1.448309760e+08|2.778905600e+08|-3.242091600e+07|-4.232632320e+08|3.584213760e+08|6.505325439e+03|6.509292236e+03|6.512761719e+03|6.508461426e+03|6.503333984e+03|6.513589355e+03
2.820882579e+05|2.817040565e+05|2.676983049e+05|2.708037704e+05|1.790619562e+06|1.795742812e+06|1.800197094e+06|1.796345125e+06|1.788888125e+06|1.803802250e+06|1.065500312e+05|1.121849375e+05|1.176602812e+05|1.138802188e+05|1.055709922e+05|1.221894375e+05|1.992009158e+03|1.994343103e+03|1.996177814e+03|1.994583170e+03|1.991483735e+03|1.997682605e+03|4.916150887e+01|5.149429547e+01|5.332732369e+01|5.173432346e+01|4.863503017e+01|5.483361675e+01|2.549233818e+03|2.558750510e+03|2.568440000e+03|2.560167993e+03|2.547903575e+03|2.572432410e+03|1.320223094e+02|1.464143003e+02|1.712420063e+02|1.536573167e+02|1.294991202e+02|1.778155132e+02|7.165110400e+09|7.226370304e+09|7.308232064e+09|7.240771072e+09|7.125216256e+09|7.356325376e+09|-3.712643840e+08|-1.769011200e+07|5.468284160e+08|1.352334880e+08|-3.757878080e+08|6.462547840e+08|6.502718018e+03|6.506469727e+03|6.510718872e+03|6.506392090e+03|6.500208008e+03|6.512577637e+03
