#R_planet
6.049537424e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.507758300e+05|2.650132238e+05|1.993227538e+05|2.042036524e+05|5.083073500e+06|5.149750250e+06|5.201516250e+06|5.140398500e+06|5.072161000e+06|5.208635500e+06|4.040182500e+05|4.747900000e+05|5.275456250e+05|4.626320312e+05|3.921736875e+05|5.330905000e+05|1.921723000e+03|1.935639805e+03|1.945516899e+03|1.931890719e+03|1.918341876e+03|1.945439562e+03|1.011784766e+02|1.150898485e+02|1.249625668e+02|1.113413392e+02|9.779183636e+01|1.248908419e+02|5.491194533e+03|5.595412252e+03|5.691282222e+03|5.574160819e+03|5.452648050e+03|5.695673589e+03|8.422152976e+02|9.515065478e+02|1.039052755e+03|9.266173597e+02|8.064759828e+02|1.046758737e+03|1.789552845e+11|1.802811228e+11|1.815595008e+11|1.801512059e+11|1.786136166e+11|1.816888115e+11|2.146328576e+09|3.857440768e+09|5.257220096e+09|3.734146304e+09|1.620160640e+09|5.848131584e+09|1.047855322e+04|1.049467188e+04|1.051496802e+04|1.049493750e+04|1.047261523e+04|1.051725879e+04
3.824880609e+05|3.814584138e+05|2.967750090e+05|3.272768104e+05|5.009226125e+06|5.082944750e+06|5.159954750e+06|5.084500000e+06|5.006518000e+06|5.162482000e+06|3.555777500e+05|4.090430000e+05|4.930491250e+05|4.167387500e+05|3.377285312e+05|4.957489062e+05|1.911394032e+03|1.927566233e+03|1.940832479e+03|1.924663871e+03|1.908444064e+03|1.940883677e+03|9.085032701e+01|1.070190496e+02|1.202768149e+02|1.041120788e+02|8.789163655e+01|1.203325210e+02|5.387797701e+03|5.513888368e+03|5.627822416e+03|5.498581727e+03|5.353777140e+03|5.643386314e+03|7.398097883e+02|8.640597530e+02|9.738989936e+02|8.551691892e+02|7.121922850e+02|9.981460934e+02|1.779458212e+11|1.787559035e+11|1.799403848e+11|1.787570586e+11|1.773256376e+11|1.801885123e+11|1.056944128e+09|2.896543744e+09|4.483227648e+09|2.833514240e+09|7.013400320e+08|4.965688832e+09|1.046781738e+04|1.048395020e+04|1.050717212e+04|1.048497559e+04|1.046246289e+04|1.050749023e+04
4.560034119e+05|4.575562755e+05|3.522379650e+05|3.853374660e+05|4.974831625e+06|5.026526000e+06|5.087484500e+06|5.030533000e+06|4.964621000e+06|5.096446000e+06|3.218386250e+05|3.941327500e+05|4.632667500e+05|3.937515938e+05|3.165395625e+05|4.709635938e+05|1.902836978e+03|1.922770837e+03|1.930720102e+03|1.917964374e+03|1.902783168e+03|1.933145580e+03|8.228899871e+01|1.022110110e+02|1.101699355e+02|9.741317273e+01|8.223124928e+01|1.125950962e+02|5.304305855e+03|5.455946605e+03|5.536385313e+03|5.427415150e+03|5.296709122e+03|5.558121178e+03|6.646207496e+02|8.321425619e+02|9.131397406e+02|7.968918179e+02|6.640268444e+02|9.297567914e+02|1.767281050e+11|1.773346898e+11|1.781405204e+11|1.773633372e+11|1.761929626e+11|1.785336791e+11|1.198686208e+09|2.702311424e+09|5.001113600e+09|2.967621120e+09|6.284515840e+08|5.306790400e+09|1.045427515e+04|1.047184814e+04|1.049711694e+04|1.047438965e+04|1.045065527e+04|1.049812500e+04
5.080018020e+05|5.078633484e+05|4.049137773e+05|4.491927861e+05|4.934880875e+06|5.013224500e+06|5.069649875e+06|5.005982500e+06|4.937522000e+06|5.074443000e+06|3.042382500e+05|3.768597500e+05|4.410457500e+05|3.755789062e+05|2.983165625e+05|4.528412812e+05|1.902249031e+03|1.917062056e+03|1.927651457e+03|1.915267022e+03|1.899503162e+03|1.931030882e+03|8.169392312e+01|9.651077634e+01|1.071051581e+02|9.471692140e+01|7.895229200e+01|1.104815508e+02|5.283156064e+03|5.425325730e+03|5.508717150e+03|5.397816013e+03|5.261504490e+03|5.534127535e+03|6.725633774e+02|7.908047825e+02|8.850924532e+02|7.699617874e+02|6.345453281e+02|9.053782468e+02|1.757858570e+11|1.766760284e+11|1.775735357e+11|1.766563512e+11|1.754592215e+11|1.778534482e+11|7.132692480e+08|2.705195008e+09|4.432281600e+09|2.575092736e+09|3.384259520e+08|4.811759616e+09|1.044584961e+04|1.046875244e+04|1.048996216e+04|1.046818164e+04|1.044466406e+04|1.049169727e+04
5.536446736e+05|5.526848665e+05|4.408900929e+05|4.905313334e+05|4.917354875e+06|4.988113500e+06|5.025390375e+06|4.976658000e+06|4.912552500e+06|5.040764000e+06|2.995496250e+05|3.607005000e+05|4.088768750e+05|3.591237500e+05|2.881914062e+05|4.300561875e+05|1.891848711e+03|1.915347281e+03|1.924562052e+03|1.910709071e+03|1.894229070e+03|1.927189072e+03|7.129983638e+01|9.478460340e+01|1.040002556e+02|9.015863380e+01|7.367862707e+01|1.066386405e+02|5.207683415e+03|5.393073408e+03|5.466124100e+03|5.353613916e+03|5.216666560e+03|5.490561272e+03|5.804753019e+02|7.688223508e+02|8.353700864e+02|7.311417404e+02|5.951294030e+02|8.671540778e+02|1.753341788e+11|1.759805276e+11|1.767799726e+11|1.760430326e+11|1.749008384e+11|1.771852431e+11|6.031769600e+08|2.581372928e+09|4.205879296e+09|2.596300032e+09|3.343744960e+08|4.858225664e+09|1.044417920e+04|1.046872217e+04|1.048739551e+04|1.046517676e+04|1.044116016e+04|1.048919336e+04
5.928268298e+05|5.933663938e+05|4.547668189e+05|5.019725329e+05|4.912406625e+06|4.974992250e+06|5.023160000e+06|4.973275000e+06|4.905326500e+06|5.041223500e+06|3.086837500e+05|3.803362500e+05|4.370322500e+05|3.768198438e+05|3.016074062e+05|4.520322500e+05|1.898838459e+03|1.915920950e+03|1.925762206e+03|1.912861628e+03|1.897592505e+03|1.928130751e+03|7.827827161e+01|9.536638745e+01|1.052182006e+02|9.231104099e+01|7.704102078e+01|1.075810612e+02|5.242583503e+03|5.384087015e+03|5.474266281e+03|5.366291473e+03|5.234647643e+03|5.497935303e+03|6.266656676e+02|7.712017459e+02|8.517616078e+02|7.526493428e+02|6.222023563e+02|8.830963292e+02|1.747378176e+11|1.753089884e+11|1.762411069e+11|1.755068006e+11|1.743081636e+11|1.767054213e+11|1.229185024e+09|3.292012544e+09|5.067952128e+09|3.099192832e+09|4.794793920e+08|5.718905856e+09|1.043651538e+04|1.045404248e+04|1.047568311e+04|1.045588965e+04|1.043335840e+04|1.047841895e+04
6.242347439e+05|6.239700106e+05|5.117312351e+05|5.540066258e+05|4.855604375e+06|4.922016750e+06|4.980330750e+06|4.933344500e+06|4.860480500e+06|5.006208000e+06|2.601001250e+05|3.460957500e+05|4.177913750e+05|3.492139688e+05|2.589101250e+05|4.395178750e+05|1.888350964e+03|1.906100890e+03|1.920488558e+03|1.907140801e+03|1.889573280e+03|1.924708322e+03|6.780450629e+01|8.554639776e+01|9.994337831e+01|8.659081960e+01|6.902398308e+01|1.041576561e+02|5.143559998e+03|5.295817726e+03|5.423545565e+03|5.309971663e+03|5.162200472e+03|5.457742855e+03|5.255649028e+02|6.923216717e+02|8.086428426e+02|7.015503125e+02|5.515681943e+02|8.515324308e+02|1.737380332e+11|1.745856512e+11|1.752228372e+11|1.745690296e+11|1.733662474e+11|1.757717627e+11|3.060490240e+08|2.380103680e+09|5.061959680e+09|2.768589824e+09|-1.296436400e+08|5.666822656e+09|1.043233276e+04|1.045177783e+04|1.047368018e+04|1.044980273e+04|1.042644824e+04|1.047315723e+04
6.602847986e+05|6.611752221e+05|5.434120483e+05|5.740250804e+05|4.838258250e+06|4.898958250e+06|4.944484875e+06|4.900293000e+06|4.840098500e+06|4.960486500e+06|2.544505000e+05|3.199537500e+05|3.868887500e+05|3.261403438e+05|2.513108594e+05|4.009698125e+05|1.886489858e+03|1.906442437e+03|1.917588076e+03|1.903127691e+03|1.886442758e+03|1.919812625e+03|6.594401845e+01|8.589399577e+01|9.703282188e+01|8.257716797e+01|6.589375278e+01|9.926058316e+01|5.140756707e+03|5.292552962e+03|5.383278216e+03|5.267610845e+03|5.131434258e+03|5.403787432e+03|5.138865074e+02|6.695343371e+02|7.818381940e+02|6.633821025e+02|5.284164384e+02|7.983477667e+02|1.730255503e+11|1.737236808e+11|1.742194360e+11|1.736819016e+11|1.726881956e+11|1.746756239e+11|4.774912000e+08|1.898897408e+09|4.018585600e+09|2.373279744e+09|-3.391674880e+08|5.085726720e+09|1.042020264e+04|1.044137598e+04|1.046888696e+04|1.044260840e+04|1.041758105e+04|1.046763672e+04
6.900812000e+05|6.911665490e+05|5.927171600e+05|6.239296284e+05|4.829083000e+06|4.890768500e+06|4.932516125e+06|4.891133000e+06|4.828948000e+06|4.953318500e+06|2.597103750e+05|3.133682500e+05|3.635543750e+05|3.179900000e+05|2.436988594e+05|3.922811875e+05|1.888855777e+03|1.903348325e+03|1.913736363e+03|1.902522129e+03|1.887540556e+03|1.917503703e+03|6.831016481e+01|8.280195362e+01|9.318749106e+01|8.197021587e+01|6.698812927e+01|9.695230246e+01|5.139884451e+03|5.261622953e+03|5.346751785e+03|5.259215707e+03|5.134867809e+03|5.383563604e+03|5.385640141e+02|6.559612712e+02|7.431571525e+02|6.553924403e+02|5.305702541e+02|7.802146265e+02|1.726244536e+11|1.731099361e+11|1.738740859e+11|1.733487657e+11|1.723386102e+11|1.743589212e+11|1.024696320e+08|1.925316608e+09|3.892531200e+09|2.089917696e+09|-3.656099520e+08|4.545445376e+09|1.042155591e+04|1.043868750e+04|1.045833081e+04|1.043894629e+04|1.041697070e+04|1.046092090e+04
7.192555355e+05|7.189681120e+05|6.251244321e+05|6.606312437e+05|4.799549500e+06|4.865110750e+06|4.935623125e+06|4.874715000e+06|4.800133500e+06|4.949297500e+06|2.522628750e+05|3.255925000e+05|4.008107500e+05|3.252992812e+05|2.400057344e+05|4.105928125e+05|1.885927502e+03|1.901393870e+03|1.917021292e+03|1.901397568e+03|1.883721420e+03|1.919073715e+03|6.537424841e+01|8.084024092e+01|9.646275976e+01|8.084678724e+01|6.317102371e+01|9.852255076e+01|5.105077814e+03|5.241450330e+03|5.368287501e+03|5.244630954e+03|5.096346178e+03|5.392915730e+03|5.067379623e+02|6.444527879e+02|7.769630163e+02|6.508761838e+02|5.040129204e+02|7.977394472e+02|1.717149368e+11|1.725476372e+11|1.734898852e+11|1.727374950e+11|1.715124797e+11|1.739625267e+11|-1.028915200e+07|2.668331008e+09|4.974673920e+09|2.647520000e+09|-4.048076800e+08|5.699848192e+09|1.040877734e+04|1.043070020e+04|1.045714575e+04|1.043205664e+04|1.040819238e+04|1.045591895e+04
