#R_planet
1.044422381e+07
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.256426020e+05|3.445938639e+05|2.547714278e+05|2.686762565e+05|1.069003000e+07|1.073099750e+07|1.083221300e+07|1.074895000e+07|1.066504600e+07|1.083285200e+07|1.654298250e+06|1.834605000e+06|2.072060250e+06|1.861216625e+06|1.573092625e+06|2.149341000e+06|2.053665952e+03|2.061586990e+03|2.068732476e+03|2.061162083e+03|2.052648748e+03|2.069675419e+03|2.323017175e+02|2.402185322e+02|2.473534303e+02|2.397957910e+02|2.312814212e+02|2.483101607e+02|8.892624835e+03|8.998418836e+03|9.092675158e+03|9.002562371e+03|8.877026282e+03|9.128098460e+03|2.899802827e+03|3.018813368e+03|3.149031941e+03|3.027923676e+03|2.891604677e+03|3.164242675e+03|4.192348979e+11|4.222536909e+11|4.250177126e+11|4.221243228e+11|4.191244124e+11|4.251241677e+11|1.941844787e+10|3.147212390e+10|4.481850573e+10|3.260820685e+10|1.712143770e+10|4.809497805e+10|1.267013550e+04|1.269059033e+04|1.271098462e+04|1.268932715e+04|1.266612109e+04|1.271253125e+04
4.939766448e+05|4.959431078e+05|3.851059277e+05|4.164180317e+05|1.062913000e+07|1.069371550e+07|1.077238575e+07|1.070044700e+07|1.061032800e+07|1.079056600e+07|1.634474250e+06|1.859715000e+06|2.079827000e+06|1.869789125e+06|1.575360375e+06|2.164218250e+06|2.053129166e+03|2.061084237e+03|2.068726003e+03|2.060980143e+03|2.052198966e+03|2.069761320e+03|2.317646599e+02|2.397228576e+02|2.473690410e+02|2.396170322e+02|2.308358585e+02|2.483982060e+02|8.879946585e+03|8.979167692e+03|9.067834528e+03|8.983868066e+03|8.857612586e+03|9.110123546e+03|2.925294677e+03|3.014235678e+03|3.111173969e+03|3.023679794e+03|2.908230280e+03|3.139129307e+03|4.170463150e+11|4.195714499e+11|4.222440489e+11|4.197686641e+11|4.165136548e+11|4.230238372e+11|1.760112640e+10|3.204141875e+10|4.656945562e+10|3.321490637e+10|1.668791091e+10|4.974190592e+10|1.265225439e+04|1.267167334e+04|1.269152075e+04|1.267142090e+04|1.264533789e+04|1.269750781e+04
5.898249002e+05|5.912776385e+05|4.624690777e+05|5.043844662e+05|1.059778175e+07|1.063959000e+07|1.071863700e+07|1.065727900e+07|1.058046100e+07|1.073410000e+07|1.467917000e+06|1.820417500e+06|2.052271750e+06|1.785830125e+06|1.463199500e+06|2.108460250e+06|2.056608824e+03|2.062193579e+03|2.068376314e+03|2.062719719e+03|2.055536316e+03|2.069903122e+03|2.352455173e+02|2.408398934e+02|2.470209462e+02|2.413531769e+02|2.341700343e+02|2.485363196e+02|8.899054099e+03|8.980663719e+03|9.095450074e+03|8.989658202e+03|8.882144127e+03|9.097172276e+03|2.908727641e+03|3.018377198e+03|3.110566315e+03|3.019414172e+03|2.905973861e+03|3.132854483e+03|4.150700605e+11|4.170255565e+11|4.191086592e+11|4.171009556e+11|4.143437578e+11|4.198582518e+11|1.291027251e+10|2.953607578e+10|4.302121370e+10|2.842158490e+10|1.104234803e+10|4.580082483e+10|1.263333008e+04|1.265029834e+04|1.266717773e+04|1.264900488e+04|1.262687109e+04|1.267113770e+04
6.577024620e+05|6.571813665e+05|5.155003026e+05|5.703007978e+05|1.056994600e+07|1.062012150e+07|1.067878325e+07|1.062129300e+07|1.054816300e+07|1.069442300e+07|1.360033000e+06|1.738825500e+06|2.071797250e+06|1.776953500e+06|1.368777750e+06|2.185129000e+06|2.055239366e+03|2.060867997e+03|2.067588784e+03|2.061950531e+03|2.053697879e+03|2.070203183e+03|2.338709825e+02|2.395171230e+02|2.462240640e+02|2.405868957e+02|2.323344611e+02|2.488393304e+02|8.881879694e+03|8.964755114e+03|9.048141813e+03|8.968320777e+03|8.850780849e+03|9.085860704e+03|2.894516725e+03|3.006896557e+03|3.093169564e+03|3.005829190e+03|2.875413846e+03|3.136244534e+03|4.140659425e+11|4.157336125e+11|4.173875364e+11|4.155438858e+11|4.132666737e+11|4.178211308e+11|8.605859840e+09|2.634401382e+10|4.469599437e+10|2.824656691e+10|6.462594048e+09|5.003053466e+10|1.262220410e+04|1.263948389e+04|1.265082544e+04|1.263782910e+04|1.261902734e+04|1.265662988e+04
7.188524874e+05|7.208296974e+05|5.763607275e+05|6.292211263e+05|1.050446800e+07|1.056011950e+07|1.068184075e+07|1.058092800e+07|1.047822800e+07|1.068362800e+07|1.428190000e+06|1.774692500e+06|2.179699500e+06|1.794988750e+06|1.369758375e+06|2.220219000e+06|2.056824135e+03|2.065286603e+03|2.072147054e+03|2.063761003e+03|2.054805022e+03|2.072716984e+03|2.354669882e+02|2.439190699e+02|2.507664013e+02|2.423939440e+02|2.334400084e+02|2.513478796e+02|8.865601299e+03|8.986182858e+03|9.105076393e+03|8.976220604e+03|8.839694761e+03|9.112746446e+03|2.909765758e+03|3.021533618e+03|3.155626948e+03|3.028519063e+03|2.885872008e+03|3.171166119e+03|4.104886108e+11|4.126813880e+11|4.158674452e+11|4.129841807e+11|4.095016960e+11|4.164666982e+11|8.058118144e+09|2.652997222e+10|4.961728922e+10|2.871539507e+10|6.044323840e+09|5.138646630e+10|1.259618872e+04|1.261611523e+04|1.263722998e+04|1.261591016e+04|1.259020215e+04|1.264162012e+04
7.659504626e+05|7.654689053e+05|5.975736283e+05|6.498714347e+05|1.044022100e+07|1.053091300e+07|1.060933975e+07|1.053221800e+07|1.043745200e+07|1.062698400e+07|1.385215250e+06|1.840176500e+06|2.177526500e+06|1.791101625e+06|1.354875250e+06|2.227328250e+06|2.053187024e+03|2.063168490e+03|2.070946175e+03|2.062276283e+03|2.052645557e+03|2.071907009e+03|2.318263322e+02|2.417882731e+02|2.495951666e+02|2.409121536e+02|2.312813153e+02|2.505429919e+02|8.804089820e+03|8.929709236e+03|9.075650672e+03|8.941548187e+03|8.796681418e+03|9.086414956e+03|2.887876964e+03|3.020336393e+03|3.147239104e+03|3.005305483e+03|2.849608760e+03|3.161002205e+03|4.091569357e+11|4.110316503e+11|4.130316616e+11|4.110254735e+11|4.082772541e+11|4.137736274e+11|9.180225536e+09|3.040287130e+10|5.104613786e+10|2.907933491e+10|6.057048576e+09|5.210162381e+10|1.258604956e+04|1.260580762e+04|1.261864746e+04|1.260235742e+04|1.258153613e+04|1.262317773e+04
8.101269756e+05|8.109233378e+05|6.383952072e+05|7.127818233e+05|1.044731425e+07|1.049214900e+07|1.057748775e+07|1.051502100e+07|1.043142000e+07|1.059862400e+07|1.333587000e+06|1.759009000e+06|2.321041875e+06|1.783988000e+06|1.296264625e+06|2.271711500e+06|2.055048023e+03|2.061717241e+03|2.070004278e+03|2.062756534e+03|2.054250703e+03|2.071262365e+03|2.336887985e+02|2.403553093e+02|2.486350914e+02|2.413908232e+02|2.328843695e+02|2.498972769e+02|8.829747225e+03|8.926210761e+03|9.044163423e+03|8.941189132e+03|8.815299451e+03|9.067078813e+03|2.882834466e+03|3.007114904e+03|3.123624052e+03|3.008247480e+03|2.868017688e+03|3.148477272e+03|4.079283896e+11|4.097915126e+11|4.119202939e+11|4.100308664e+11|4.074566779e+11|4.126051860e+11|3.404791808e+09|2.191846605e+10|5.614804173e+10|2.858698957e+10|2.432689152e+09|5.474128691e+10|1.257710010e+04|1.259444141e+04|1.260945288e+04|1.259410742e+04|1.257386328e+04|1.261435156e+04
8.530512667e+05|8.526661469e+05|6.703251084e+05|7.412972894e+05|1.042428550e+07|1.049984550e+07|1.057981500e+07|1.049601700e+07|1.039640500e+07|1.059562900e+07|1.323140000e+06|1.722493000e+06|2.182390625e+06|1.791256750e+06|1.351672375e+06|2.230842000e+06|2.057733443e+03|2.064708796e+03|2.072230925e+03|2.065081819e+03|2.056000148e+03|2.074163490e+03|2.363786953e+02|2.433454640e+02|2.508755230e+02|2.437167858e+02|2.346353175e+02|2.527982541e+02|8.852813318e+03|8.962769939e+03|9.069145171e+03|8.962543503e+03|8.826657960e+03|9.098429046e+03|2.917486713e+03|3.043246347e+03|3.168477788e+03|3.035789144e+03|2.886316193e+03|3.185262095e+03|4.062366188e+11|4.084491387e+11|4.117960704e+11|4.083753943e+11|4.050535055e+11|4.116972503e+11|3.607273472e+09|2.626145485e+10|4.985201459e+10|2.830795981e+10|4.644753920e+09|5.197117030e+10|1.255990991e+04|1.258192285e+04|1.259812305e+04|1.257852637e+04|1.255425000e+04|1.260279883e+04
8.868947769e+05|8.861004226e+05|7.084593465e+05|7.703397089e+05|1.039912775e+07|1.047590950e+07|1.055046925e+07|1.047263000e+07|1.038329000e+07|1.056197100e+07|1.239442250e+06|1.819075500e+06|2.189308500e+06|1.782611375e+06|1.267511500e+06|2.297711250e+06|2.057833317e+03|2.065021165e+03|2.071633631e+03|2.064425150e+03|2.055197784e+03|2.073652516e+03|2.364594425e+02|2.436644327e+02|2.502741597e+02|2.430608187e+02|2.338328609e+02|2.522887764e+02|8.831247435e+03|8.952626264e+03|9.056864980e+03|8.946514783e+03|8.809595193e+03|9.083434373e+03|2.878886314e+03|3.014518543e+03|3.155917173e+03|3.024698251e+03|2.858518104e+03|3.190878398e+03|4.056626545e+11|4.077023232e+11|4.093352018e+11|4.074192568e+11|4.047489597e+11|4.100895867e+11|-1.926881280e+09|3.044660019e+10|5.090159821e+10|2.808284774e+10|4.637583040e+08|5.570193408e+10|1.255192944e+04|1.257569678e+04|1.258758667e+04|1.257179980e+04|1.255052539e+04|1.259307910e+04
9.190570623e+05|9.191152591e+05|6.858975432e+05|7.515479601e+05|1.035951800e+07|1.042762750e+07|1.051366875e+07|1.043100200e+07|1.034730400e+07|1.051469900e+07|1.339603750e+06|1.772791000e+06|2.289392375e+06|1.818516125e+06|1.320723000e+06|2.316309500e+06|2.054394709e+03|2.061788518e+03|2.070687001e+03|2.063251580e+03|2.053908499e+03|2.072594661e+03|2.330424886e+02|2.404165647e+02|2.493298841e+02|2.418856383e+02|2.325418961e+02|2.512293804e+02|8.792100540e+03|8.901613248e+03|9.031136821e+03|8.917912496e+03|8.781532329e+03|9.054292662e+03|2.860181813e+03|3.018438477e+03|3.127609257e+03|3.015844924e+03|2.848963963e+03|3.182725885e+03|4.040619622e+11|4.054944154e+11|4.072045691e+11|4.057193513e+11|4.034640282e+11|4.079747400e+11|6.414745600e+09|2.737358438e+10|5.452170035e+10|3.040352870e+10|4.188516608e+09|5.661853696e+10|1.254338818e+04|1.256018994e+04|1.257265259e+04|1.255981836e+04|1.254143652e+04|1.257819629e+04
